transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price
4411,2022-05-01 01:02:00,P0305,6,,30271790522719,F,8.74,3,9.99
4412,2022-05-01 04:00:00,P0242,7,visa,4041591026711540,F,1.6,2,1.79
4413,2022-05-01 05:49:00,P0529,2,mastercard,5048373491517664,F,17.59,2,18.79
4414,2022-05-01 06:58:00,P0336,7,mastercard,5048377130633352,T,8.17,4,8.89
4415,2022-05-01 08:47:00,P0399,6,visa,4041595611872,F,9.83,2,11.29
4416,2022-05-01 12:06:00,P0097,4,visa,4041591008610,F,9.91,4,11.29
4417,2022-05-01 19:42:00,P0644,7,mastercard,5048374238650248,T,11.48,2,12.59
4418,2022-05-01 20:33:00,P0370,4,americanexpress,374288720448306,T,19.51,6,21.29
4419,2022-05-01 20:43:00,P0360,4,mastercard,5108750048483168,F,5.54,4,6.59
4420,2022-05-01 21:34:00,P0607,6,americanexpress,374283699598462,F,3.38,2,4.59
4421,2022-05-02 01:11:00,P0292,5,mastercard,5048379773519880,F,10.49,2,11.49
4422,2022-05-02 02:03:00,P0654,5,visa,4041596609008,F,8.85,1,10.19
4423,2022-05-02 02:05:00,P0550,7,mastercard,5108750457293975,F,15.35,2,17.09
4424,2022-05-02 03:08:00,P0234,5,americanexpress,374283195967310,F,3.13,3,4.29
4425,2022-05-02 03:55:00,P0192,6,visa,4041597948280,F,6.58,1,7.89
4426,2022-05-02 04:43:00,P0316,6,americanexpress,374283789386133,T,1.81,1,2.19
4427,2022-05-02 04:54:00,P0442,6,visa,4041598362994,F,14.89,1,16.39
4428,2022-05-02 08:39:00,P0610,5,visa,4041599784216123,F,5.58,1,6.6
4429,2022-05-02 14:22:00,P0129,8,americanexpress,374283772435921,F,8.54,4,9.59
4430,2022-05-02 14:35:00,P0478,8,americanexpress,374283589212471,T,18.67,3,20.59
4431,2022-05-02 14:57:00,P0325,5,americanexpress,374288960853108,F,5.35,2,6.29
4432,2022-05-02 16:38:00,P0044,2,mastercard,5048379763660330,F,12.64,2,14.29
4433,2022-05-02 22:01:00,P0372,8,visa,4041590368489848,F,5.75,1,6.89
4434,2022-05-02 22:15:00,P0722,6,visa,4041590954858257,F,14.59,4,15.79
4435,2022-05-02 22:35:00,P0429,5,mastercard,5048376841934158,T,0.78,3,1.59
4436,2022-05-03 01:38:00,P0551,6,americanexpress,374283355287871,F,3.29,6,4.49
4437,2022-05-03 02:53:00,P0382,5,visa,4041591446919,F,14.22,2,15.09
4438,2022-05-03 03:30:00,P0146,7,mastercard,5108754062783073,F,14.53,1,15.69
4439,2022-05-03 04:46:00,P0333,6,visa,4041595050246,F,16.61,2,18.09
4440,2022-05-03 04:51:00,P0537,3,visa,4041594691284587,F,8.62,3,9.79
4441,2022-05-03 10:37:00,P0066,7,visa,4041593485881,F,9.89,2,11.29
4442,2022-05-03 11:07:00,P0344,4,mastercard,5048372948984931,T,9.86,3,11.29
4443,2022-05-03 14:43:00,P0255,7,visa,4041591403548887,F,18.85,1,20.79
4444,2022-05-03 15:53:00,P0272,4,visa,4041596413989,F,5.35,3,6.29
4445,2022-05-03 18:09:00,P0180,7,americanexpress,374288919910694,F,19.25,1,21.19
4446,2022-05-03 18:31:00,P0524,10,visa,4041592104970,F,10.66,2,11.59
4447,2022-05-03 19:51:00,P0690,7,visa,4041597439687276,F,11.93,3,13.39
4448,2022-05-03 21:31:00,P0668,3,americanexpress,374283719710394,F,0.46,4,1.39
4449,2022-05-03 22:46:00,P0453,7,visa,4041594013905174,F,12.82,2,14.49
4450,2022-05-03 23:20:00,P0198,9,mastercard,5048375389506501,F,17.0,2,18.19
